qid	lat	lon	source	fetched_at
Q450625	54.400000	24.050000	wikidata-P625	2026-05-20T09:31:14Z
Q23438	37.950000	58.383333	wikidata-P625	2026-05-20T09:31:14Z
Q722836	54.425000	25.937500	wikidata-P625	2026-05-20T09:31:14Z
Q207294	53.150000	29.233333	wikidata-P625	2026-05-20T09:31:14Z
Q805554	47.936111	29.622500	wikidata-P625	2026-05-20T09:31:14Z
Q5092	39.286389	-76.615000	wikidata-P625	2026-05-20T09:31:14Z
Q3936	49.891667	10.891667	wikidata-P625	2026-05-20T09:31:14Z
Q158799	49.891944	28.600000	wikidata-P625	2026-05-20T09:31:14Z
Q64	52.516667	13.383333	wikidata-P625	2026-05-20T09:31:14Z
Q209932	52.033333	23.133333	wikidata-P625	2026-05-20T09:31:14Z
Q761	53.132356	23.168672	wikidata-P625	2026-05-20T09:31:14Z
Q9361	42.866667	74.566667	wikidata-P625	2026-05-20T09:31:14Z
Q100	42.360278	-71.057778	wikidata-P625	2026-05-20T09:31:14Z
Q178855	47.748611	26.669444	wikidata-P625	2026-05-20T09:31:14Z
Q140147	52.084722	23.656944	wikidata-P625	2026-05-20T09:31:14Z
Q465104	50.078056	25.154167	wikidata-P625	2026-05-20T09:31:14Z
Q18419	40.650833	-73.949722	wikidata-P625	2026-05-20T09:31:14Z
Q991279	40.660653	-73.910781	wikidata-P625	2026-05-20T09:31:14Z
Q239	50.846667	4.351667	wikidata-P625	2026-05-20T09:31:14Z
Q19660	44.413361	26.097778	wikidata-P625	2026-05-20T09:31:14Z
Q1781	47.498333	19.040833	wikidata-P625	2026-05-20T09:31:14Z
Q1486	-34.599722	-58.381944	wikidata-P625	2026-05-20T09:31:14Z
Q40435	42.886389	-78.878056	wikidata-P625	2026-05-20T09:31:14Z
Q200833	53.833333	28.983333	wikidata-P625	2026-05-20T09:31:14Z
Q37801	47.761667	27.928889	wikidata-P625	2026-05-20T09:31:14Z
Q461513	50.325000	19.133333	wikidata-P625	2026-05-20T09:31:14Z
Q157725	48.290833	25.934444	wikidata-P625	2026-05-20T09:31:14Z
Q234184	51.133333	23.483333	wikidata-P625	2026-05-20T09:31:14Z
Q1297	41.881944	-87.627778	wikidata-P625	2026-05-20T09:31:14Z
Q21197	47.022778	28.835278	wikidata-P625	2026-05-20T09:31:14Z
Q991973	50.611667	20.749722	wikidata-P625	2026-05-20T09:31:14Z
Q161980	49.083333	32.666667	wikidata-P625	2026-05-20T09:31:14Z
Q43196	39.100000	-84.512500	wikidata-P625	2026-05-20T09:31:14Z
Q37320	41.499167	-81.694722	wikidata-P625	2026-05-20T09:31:14Z
Q1748	55.676111	12.568889	wikidata-P625	2026-05-20T09:31:14Z
Q103217	50.809640	19.122170	wikidata-P625	2026-05-20T09:31:14Z
Q80021	55.871389	26.516111	wikidata-P625	2026-05-20T09:31:14Z
Q16554	39.739167	-104.984722	wikidata-P625	2026-05-20T09:31:14Z
Q12439	42.331667	-83.047500	wikidata-P625	2026-05-20T09:31:14Z
Q48256	48.467500	35.040000	wikidata-P625	2026-05-20T09:31:14Z
