UID,EngName,Latitude,Longitude,HebName,blank5,Rishon,YS_id,IsWord,Notes,Sourcing,KaganID,JGenID,AltEng,USBGN,EngClean
AF-00011,Herat,34.341944,62.203056,הראת,,,,y,,Ketubah,,,,,Herat
AF-00012,Hari River,34.65,66.716667,הרי רוד,,,,,,Ketubah,,,Harī Rōd,,Hari River
AL-00011,"Vlorë, Albania",40.4660668,19.491356,אבילונה,,,,,,SDM,,,,,Vlorë
AL-00011,"Vlorë, Albania",40.4660668,19.491356,אוילונה,,,,,,SDM,,,,,Vlorë
AL-00012,"Lezhë, Albania",41.7860729999999,19.6460758,אלישו,,,,,IDed by Bornstein,SDM,,,,,Lezhë
AL-00013,"Nartë, Albania",40.499167,19.457222,נארטא,,,,,,Pri Etz Hayim 1742 Intro,,,,,Nartë
AM-00001,"Yerevan, Armenia",40.1833333333332,44.5166666666667,,,,,,,JGen,,4912,"Yerevan, Erevan",-2325645,Yerevan
AM-00011,"Tashir, Armenia",41.1159648,44.285778,וואראנסאווקע,,,,,,Kagan,2651,,,,Tashir
AR-00000,Argentina,-38.416097,-63.6166719999999,ארגאנטינא,,,,,,VeZot LiYehudah,,,,,Argentina
AR-00000,Argentina,-38.416097,-63.6166719999999,ארגנטינא,,,,,,DivM,,,,,Argentina
AR-00000,Argentina,-38.416097,-63.6166719999999,ארגנטינה,,,,,,VeZot LiYehudah,,,,,Argentina
AR-00000,Argentina,-38.416097,-63.6166719999999,ארגענטינא,,,,,,IGMO,,,,,Argentina
AR-00001,Buenos Aires,-34.6036844,-58.3815591,בואינוס איירעס,,,,,,,,,,,Buenos Aires
AR-00001,Buenos Aires,-34.6036844,-58.3815591,בונעס איירעס,,,,,,DivM,,,,,Buenos Aires
AR-00001,Buenos Aires,-34.6036844,-58.3815591,בונעס אירעס,,,,,,Prenum - Hemdat Yisrael,,,,,Buenos Aires
AR-00001,Buenos Aires,-34.6036844,-58.3815591,בוענאס איירעס,,,,,,Prenum 2325,,,,,Buenos Aires
AR-00011,"Moisés Ville, Argentina",-30.7143054,-61.469815,מאזעס-וויללע,,,,,,DivM,,,,,Moisés Ville
AR-00011,"Moisés Ville, Argentina",-30.7143054,-61.469815,מאזעסווילע,,,,,,,,,,,Moisés Ville
AR-00011,"Moisés Ville, Argentina",-30.7143054,-61.469815,מאזעסוילע,,,,,,Prenum 74,,,,,Moisés Ville
AR-00011,"Moisés Ville, Argentina",-30.7143054,-61.469815,קרית משה,,,,,,RAYK,,,,,Moisés Ville
AR-00012,Rio de la Plata,-35.1944557,-56.741207,פלאטא,,,,,,DivM,,,,,Rio de la Plata
AR-00013,"Córdoba, Argentina",-31.416667,-64.183333,קארדובא,,,,,,Prenum 2325,,,,,Córdoba
AR-00014,"Quilmes, Argentina",-34.716667,-58.266667,קילמעס,,,,,,Prenum 2325,,,,,Quilmes
AR-00015,"Rosaria, Argentina",-32.9575,-60.639444,רוזאריא,,,,,,Prenum 2325,,,,,Rosaria
AT-00000,Austria,47.516231,14.550072,אושטרייך,,Y,,,,15thCAshkenaz,,760,"Österreich [Ger], Austria [Eng, Pol, Rom, Sp, Ital, Lat], Ausztria [Hun], Avstriya [Rus, Ukr], Estraykh [Yid], Autriche [Fr], Rakousko [Cz], Rakúsko [Slov], Austrija [Bosn, Serb, Croa, Latv, Lith]",-1974447,Austria
AT-00000,Austria,47.516231,14.550072,אושטריך,,Y,,,,15thCAshkenaz,,760,"Österreich [Ger], Austria [Eng, Pol, Rom, Sp, Ital, Lat], Ausztria [Hun], Avstriya [Rus, Ukr], Estraykh [Yid], Autriche [Fr], Rakousko [Cz], Rakúsko [Slov], Austrija [Bosn, Serb, Croa, Latv, Lith]",-1974447,Austria
AT-00000,Austria,47.516231,14.550072,ארץ הדמים,,Y,,,,15thCAshkenaz,,760,"Österreich [Ger], Austria [Eng, Pol, Rom, Sp, Ital, Lat], Ausztria [Hun], Avstriya [Rus, Ukr], Estraykh [Yid], Autriche [Fr], Rakousko [Cz], Rakúsko [Slov], Austrija [Bosn, Serb, Croa, Latv, Lith]",-1974447,Austria
AT-00000,Austria,47.516231,14.550072,מדינת בני חת,,Y,,,,15thCAshkenaz,,760,"Österreich [Ger], Austria [Eng, Pol, Rom, Sp, Ital, Lat], Ausztria [Hun], Avstriya [Rus, Ukr], Estraykh [Yid], Autriche [Fr], Rakousko [Cz], Rakúsko [Slov], Austrija [Bosn, Serb, Croa, Latv, Lith]",-1974447,Austria
AT-00000,Austria,47.516231,14.550072,עסטרייך,,,,,,JGen,,760,"Österreich [Ger], Austria [Eng, Pol, Rom, Sp, Ital, Lat], Ausztria [Hun], Avstriya [Rus, Ukr], Estraykh [Yid], Autriche [Fr], Rakousko [Cz], Rakúsko [Slov], Austrija [Bosn, Serb, Croa, Latv, Lith]",-1974447,Austria
AT-00001,Vienna,48.2081743,16.3738189,ווידען,,,,,,,2827,167,"Wien [Ger], Vienna [Eng], Vienne [Fr], Vindobona [Lat], Videň [Cz], Viedeň [Slov], Bécs [Hung], Beč [Serb], Viena [Rom], Wiedeń [Pol], Vena [Rus], Viden' [Ukr], Vin [Yid]",-1995499,Vienna
AT-00001,Vienna,48.2081743,16.3738189,וויין,,,,,,חיים וחסד א,2827,167,"Wien [Ger], Vienna [Eng], Vienne [Fr], Vindobona [Lat], Videň [Cz], Viedeň [Slov], Bécs [Hung], Beč [Serb], Viena [Rom], Wiedeń [Pol], Vena [Rus], Viden' [Ukr], Vin [Yid]",-1995499,Vienna
AT-00001,Vienna,48.2081743,16.3738189,ווין,,,,,,,2827,167,"Wien [Ger], Vienna [Eng], Vienne [Fr], Vindobona [Lat], Videň [Cz], Viedeň [Slov], Bécs [Hung], Beč [Serb], Viena [Rom], Wiedeń [Pol], Vena [Rus], Viden' [Ukr], Vin [Yid]",-1995499,Vienna
AT-00001,Vienna,48.2081743,16.3738189,ווינא,,,,,,,2827,167,"Wien [Ger], Vienna [Eng], Vienne [Fr], Vindobona [Lat], Videň [Cz], Viedeň [Slov], Bécs [Hung], Beč [Serb], Viena [Rom], Wiedeń [Pol], Vena [Rus], Viden' [Ukr], Vin [Yid]",-1995499,Vienna
AT-00001,Vienna,48.2081743,16.3738189,וויעדן,,,,,,,2827,167,"Wien [Ger], Vienna [Eng], Vienne [Fr], Vindobona [Lat], Videň [Cz], Viedeň [Slov], Bécs [Hung], Beč [Serb], Viena [Rom], Wiedeń [Pol], Vena [Rus], Viden' [Ukr], Vin [Yid]",-1995499,Vienna
AT-00001,Vienna,48.2081743,16.3738189,וויעדען,,,,,,,2827,167,"Wien [Ger], Vienna [Eng], Vienne [Fr], Vindobona [Lat], Videň [Cz], Viedeň [Slov], Bécs [Hung], Beč [Serb], Viena [Rom], Wiedeń [Pol], Vena [Rus], Viden' [Ukr], Vin [Yid]",-1995499,Vienna
AT-00001,Vienna,48.2081743,16.3738189,וויעהן,,,,,,RSK,2827,167,"Wien [Ger], Vienna [Eng], Vienne [Fr], Vindobona [Lat], Videň [Cz], Viedeň [Slov], Bécs [Hung], Beč [Serb], Viena [Rom], Wiedeń [Pol], Vena [Rus], Viden' [Ukr], Vin [Yid]",-1995499,Vienna
AT-00001,Vienna,48.2081743,16.3738189,וויען,,,,,,,2827,167,"Wien [Ger], Vienna [Eng], Vienne [Fr], Vindobona [Lat], Videň [Cz], Viedeň [Slov], Bécs [Hung], Beč [Serb], Viena [Rom], Wiedeń [Pol], Vena [Rus], Viden' [Ukr], Vin [Yid]",-1995499,Vienna
