yiddish	occ	fields	qid	label_en	desc	n_place_cands	source	grade
מערב-גאַליציע	13	province				0	no-candidate	C_review
טראַנסניסטריע	6	place;province	Q907112	Transnistria	Russian-occupied territory in Moldova	0	yi_exact	C_review
ניו יאָרקער	6	province;venues				0	no-candidate	C_review
מעליטאָפּאָל	5	settlements				0	no-candidate	C_review
מערבגאַליציע	5	country;province				0	no-candidate	C_review
נאָליציע	4	province				0	no-candidate	C_review
פּויקן	4	countries;country				0	no-candidate	C_review
מיטלאַזיע	3	place;settlements				0	no-candidate	C_review
נאָוואָליפּיע 72	3	addresses;place				0	no-candidate	C_review
פינסקער געגנט	3	province				0	no-candidate	C_review
רוסלאַנד און בעסאַראַביע	3	settlements				0	no-candidate	C_review
איסט סייד	2	settlements;venues	Q116726692	East Side	Israeli TV series	0	yi_exact	C_review
בית ישראל האָספּיטאָל	2	place				0	no-candidate	C_review
בעסעראַביע	2	place;province				0	no-candidate	C_review
בערדיאָנסק	2	settlements				0	no-candidate	C_review
גאָליזיע	2	province				0	no-candidate	C_review
דאָנבאַס	2	place;settlements				0	no-candidate	C_review
די פֿאַראייניקטע שטאָטן	2	countries;venues				0	no-candidate	C_review
דעמבאָ	2	place;settlements				0	no-candidate	C_review
דענעמאַרק	2	countries				0	no-candidate	C_review
דרוםאַמעריקע	2	countries;venues				0	no-candidate	C_review
האַנאָווער בונקער	2	place;venues				0	no-candidate	C_review
האָליוואוד סעמעטערי	2	place				0	no-candidate	C_review
וואַרש. קרייז	2	province				0	no-candidate	C_review
וואָרליסט	2	settlements				0	no-candidate	C_review
וויניצער געגנט	2	province				0	no-candidate	C_review
וויען-ברין	2	settlements				0	no-candidate	C_review
וועלדל רומבולע	2	place;province				0	no-candidate	C_review
ווענסרוסלאַנד	2	country				0	no-candidate	C_review
זשאָלקיעוו	2	settlements				0	no-candidate	C_review
טויטן לאַגער	2	place				0	no-candidate	C_review
טעאַטער נועוואָ	2	place;venues				0	no-candidate	C_review
טרעבלינקאַ	2	place				0	no-candidate	C_review
טשעכאָסלאָוואַקיע	2	countries;venues				0	no-candidate	C_review
יידישן שפּיטאָל	2	place;venues				0	no-candidate	C_review
לאַגער אולינורמען	2	place;venues				0	no-candidate	C_review
מאָלדאָוויע	2	province;settlements				0	no-candidate	C_review
משוגעים-הויז	2	place	Q1922337			0	yi	C_review
נעזשניווקע	2	place;settlements				0	no-candidate	C_review
סאָוועט-רוסלאַנד	2	countries				0	no-candidate	C_review
סטעטען איילאַנד	2	province				0	no-candidate	C_review
פ. ס. ס. ר.	2	countries				0	no-candidate	C_review
פּאָניאַטאָוו	2	settlements				0	no-candidate	C_review
פּאָרין	2	settlements	Q704593	Farin Urlaub	German rock musician	0	yi	C_review
פּויליש-רוסלאַנד	2	country;province				0	no-candidate	C_review
קאַווקאַז	2	settlements;venues	Q5477	Caucasus Mountains	mountain system spanning Eastern Europe and Western Asia	0	yi_exact	C_review
קאָוונער ליטע	2	province;venues				0	no-candidate	C_review
קאָנצענטראַציע-לאַגער	2	place	Q152081	concentration camp	camp in which people are imprisoned or confined, commonly in large groups, without trial	0	yi_exact	C_review
קעלצער קרייז	2	province				0	no-candidate	C_review
ראַטן-רוסלאַנד	2	countries;venues				0	no-candidate	C_review
ראָטנפֿאַרבאַנד	2	countries				0	no-candidate	C_review
רומפֿולער וואַלד	2	place;province				0	no-candidate	C_review
פֿאַרייניקטע שטאָטן	2	countries				0	no-candidate	C_review
րաճօմ	1	settlements				0	no-candidate	C_review
քւյՠհ	1	countries				0	no-candidate	C_review
אַוועזשאַנעדער	1	settlements				0	no-candidate	C_review
אַן אומבאַוואוסטן פלאַץ	1	place				0	no-candidate	C_review
אַן אומבאַקאַנטן פלאַץ	1	place				0	no-candidate	C_review
אַנדיזשאַן	1	settlements				0	no-candidate	C_review
